Rise_Time_ps,Slew_Rate_V_ns,Eye_Opening_mV
50.0,0.5,167.11614334715833
50.0,0.7368421052631579,176.14537718176038
50.0,0.9736842105263157,177.24142804338504
50.0,1.2105263157894737,172.217486933902
50.0,1.4473684210526314,179.97034573767243
50.0,1.6842105263157894,185.59904088001684
50.0,1.9210526315789473,175.8634999101826
50.0,2.1578947368421053,189.29574833032072
50.0,2.394736842105263,185.6342496263234
50.0,2.631578947368421,191.53720386928157
50.0,2.8684210526315788,182.49949369097163
50.0,3.1052631578947367,174.92295791773003
50.0,3.3421052631578947,173.44123517900522
50.0,3.5789473684210527,179.4509510490964
50.0,3.81578947368421,178.1407177717653
50.0,4.052631578947368,169.95210108500427
50.0,4.289473684210526,175.2982254517816
50.0,4.526315789473684,161.42924179391835
50.0,4.763157894736842,167.03802205939502
50.0,5.0,158.9449190011877
68.75,0.5,162.9908194609892
68.75,0.7368421052631579,168.85541440921367
68.75,0.9736842105263157,166.68477527884338
68.75,1.2105263157894737,171.43248543674562
68.75,1.4473684210526314,180.75514825659852
68.75,1.6842105263157894,175.20764591554214
68.75,1.9210526315789473,184.63898687611518
68.75,2.1578947368421053,177.18041309513296
68.75,2.394736842105263,187.84638931062904
68.75,2.631578947368421,192.14205362960527
68.75,2.8684210526315788,170.20756697304776
68.75,3.1052631578947367,176.21289214370026
68.75,3.3421052631578947,180.71430800432375
68.75,3.5789473684210527,174.44529938557451
68.75,3.81578947368421,174.94783463001443
68.75,4.052631578947368,167.7037582769472
68.75,4.289473684210526,168.78821209525924
68.75,4.526315789473684,165.20845592830275
68.75,4.763157894736842,169.45733136093062
68.75,5.0,162.52210421650608
87.5,0.5,164.18801331037602
87.5,0.7368421052631579,162.80903622201924
87.5,0.9736842105263157,164.79881098490068
87.5,1.2105263157894737,167.44247221879664
87.5,1.4473684210526314,173.9459449224178
87.5,1.6842105263157894,172.2371828590566
87.5,1.9210526315789473,178.15940060027154
87.5,2.1578947368421053,189.45595136164823
87.5,2.394736842105263,185.80299193821108
87.5,2.631578947368421,179.55409286547658
87.5,2.8684210526315788,184.82185908450396
87.5,3.1052631578947367,174.40699155594487
87.5,3.3421052631578947,163.88832469253177
87.5,3.5789473684210527,166.67009476120245
87.5,3.81578947368421,159.9881456580286
87.5,4.052631578947368,165.21611679031977
87.5,4.289473684210526,164.6973550538425
87.5,4.526315789473684,170.61902866663957
87.5,4.763157894736842,161.5030579214524
87.5,5.0,156.40449735595567
106.25,0.5,162.89702790591744
106.25,0.7368421052631579,150.06274450759216
106.25,0.9736842105263157,164.664914895806
106.25,1.2105263157894737,169.70958912732956
106.25,1.4473684210526314,160.83075298162709
106.25,1.6842105263157894,176.31087547919253
106.25,1.9210526315789473,174.65300835326155
106.25,2.1578947368421053,173.25250779891704
106.25,2.394736842105263,180.86127775158405
106.25,2.631578947368421,188.78767481533777
106.25,2.8684210526315788,175.9751207489767
106.25,3.1052631578947367,173.9384713525543
106.25,3.3421052631578947,168.0321428707198
106.25,3.5789473684210527,163.71130446846553
106.25,3.81578947368421,169.7437843458791
106.25,4.052631578947368,158.943265080982
106.25,4.289473684210526,161.2130943439917
106.25,4.526315789473684,156.09855487143756
106.25,4.763157894736842,158.51332018136355
106.25,5.0,155.41831052643474
125.0,0.5,160.1876997212895
125.0,0.7368421052631579,154.81833905835785
125.0,0.9736842105263157,158.3874674287963
125.0,1.2105263157894737,157.2114445789832
125.0,1.4473684210526314,162.25221791014573
125.0,1.6842105263157894,168.72860772838214
125.0,1.9210526315789473,172.99546939901623
125.0,2.1578947368421053,166.9681207475329
125.0,2.394736842105263,178.29539802158092
125.0,2.631578947368421,180.46239982034052
125.0,2.8684210526315788,173.38296398980273
125.0,3.1052631578947367,178.33134748384296
125.0,3.3421052631578947,162.71000137290318
125.0,3.5789473684210527,157.9872527992324
125.0,3.81578947368421,152.9485040186365
125.0,4.052631578947368,166.95390576797223
125.0,4.289473684210526,160.37709143966504
125.0,4.526315789473684,154.45891875071086
125.0,4.763157894736842,153.7682641842307
125.0,5.0,144.3725547635081
143.75,0.5,163.47875989808412
143.75,0.7368421052631579,154.26452696250772
143.75,0.9736842105263157,156.53381607828763
143.75,1.2105263157894737,161.9840962773882
143.75,1.4473684210526314,163.12873036920988
143.75,1.6842105263157894,164.21152538455354
143.75,1.9210526315789473,161.5081540385629
143.75,2.1578947368421053,170.18628915410102
143.75,2.394736842105263,179.6074909034278
143.75,2.631578947368421,176.66131075709066
143.75,2.8684210526315788,175.5317226068812
143.75,3.1052631578947367,162.6412900388967
143.75,3.3421052631578947,157.88092326712814
143.75,3.5789473684210527,159.83159171529124
143.75,3.81578947368421,158.37072982460137
143.75,4.052631578947368,161.19464180288108
143.75,4.289473684210526,144.89294000932065
143.75,4.526315789473684,158.6345937025662
143.75,4.763157894736842,147.82838155973664
