Frequency_GHz,S11_dB,S12_dB,S21_dB,S22_dB
0.1,-38.416375079047505,-0.04353838508549094,-0.04353838508549094,-38.416375079047505
0.5,-36.47817481888638,-0.13127539004776548,-0.13127539004776548,-36.47817481888638
1.0,-33.979400086720375,-0.2645653146751032,-0.2645653146751032,-33.979400086720375
2.0,-31.056839373155615,-0.4913638298147415,-0.4913638298147415,-31.056839373155615
3.0,-29.118639112994487,-0.7715781186710341,-0.7715781186710341,-29.118639112994487
4.0,-27.535014192041988,-1.1103465569966273,-1.1103465569966273,-27.535014192041988
5.0,-26.020599913279625,-1.5144142787623671,-1.5144142787623671,-26.020599913279625
6.0,-24.731440128741255,-1.9926574268705939,-1.9926574268705939,-24.731440128741255
7.0,-23.34982174587527,-2.5568745450341437,-2.5568745450341437,-23.34982174587527
8.0,-22.15810794619039,-3.2230181852548947,-3.2230181852548947,-22.15810794619039
9.0,-20.915149811213503,-4.013189010928365,-4.013189010928365,-20.915149811213503
10.0,-19.576214018601238,-4.95903104361123,-4.95903104361123,-19.576214018601238
12.0,-17.07743928643524,-7.432221398993769,-7.432221398993769,-17.07743928643524
14.0,-14.89454989793388,-10.60355968043674,-10.60355968043674,-14.89454989793388
16.0,-12.76544327964814,-14.656565431939724,-14.656565431939724,-12.76544327964814
18.0,-10.903102799829796,-19.576214018601238,-19.576214018601238,-10.903102799829796
20.0,-9.243618098534519,-25.19274621011512,-25.19274621011512,-9.243618098534519
